ZIPCODE,Avg Gross Income,Lat,Long,JSON-style lat/lon/money
35456,69734,33.068806,-87.43974,"33.068806, -87.43974, 69734"
35458,8788,33.274081,-87.80211,"33.274081, -87.80211, 8788"
35459,10212,32.80728,-88.31069,"32.80728, -88.31069, 10212"
35460,6006,32.716468,-88.15261,"32.716468, -88.15261, 6006"
35461,29160,33.421827,-88.22013,"33.421827, -88.22013, 29160"
35462,62230,32.931143,-87.93837,"32.931143, -87.93837, 62230"
35463,32878,33.081289,-87.68988,"33.081289, -87.68988, 32878"
35464,4952,32.811241,-88.1648,"32.811241, -88.1648, 4952"
35466,107742,33.299935,-87.88368,"33.299935, -87.88368, 107742"
35469,6290,33.012557,-87.79793,"33.012557, -87.79793, 6290"
35470,71401,32.558949,-88.12485,"32.558949, -88.12485, 71401"
35473,333190,33.260567,-87.58945,"33.260567, -87.58945, 333190"
35474,111084,32.962981,-87.61717,"32.962981, -87.61717, 111084"
35475,435186,33.388654,-87.57913,"33.388654, -87.57913, 435186"
35476,127319,33.227736,-87.58819,"33.227736, -87.58819, 127319"
35480,29087,33.102981,-87.83382,"33.102981, -87.83382, 29087"
35481,50604,33.399471,-88.02086,"33.399471, -88.02086, 50604"
35490,77911,33.197284,-87.25156,"33.197284, -87.25156, 77911"
35501,157184,33.828412,-87.27632,"33.828412, -87.27632, 157184"
35503,139958,33.907546,-87.29957,"33.907546, -87.29957, 139958"
35504,280773,33.883566,-87.2125,"33.883566, -87.2125, 280773"
35540,31942,34.223057,-87.17232,"34.223057, -87.17232, 31942"
35541,61082,34.059527,-87.18344,"34.059527, -87.18344, 61082"
35542,16348,33.703682,-87.67155,"33.703682, -87.67155, 16348"
35543,11917,34.247898,-87.72171,"34.247898, -87.72171, 11917"
35544,8431,33.939291,-88.01367,"33.939291, -88.01367, 8431"
35546,54989,33.628719,-87.58251,"33.628719, -87.58251, 54989"
35548,20963,34.043457,-87.7594,"34.043457, -87.7594, 20963"
35549,49037,33.87798,-87.52728,"33.87798, -87.52728, 49037"
35550,76635,33.754767,-87.16587,"33.754767, -87.16587, 76635"
35552,12483,34.061266,-88.15462,"34.061266, -88.15462, 12483"
35553,60561,34.146713,-87.39317,"34.146713, -87.39317, 60561"
35554,17421,33.903299,-87.65194,"33.903299, -87.65194, 17421"
35555,144677,33.681768,-87.83026,"33.681768, -87.83026, 144677"
35563,62799,33.972007,-87.90302,"33.972007, -87.90302, 62799"
35564,27658,34.262751,-87.83441,"34.262751, -87.83441, 27658"
35565,174958,34.225425,-87.6118,"34.225425, -87.6118, 174958"
35570,146723,34.149717,-88.00384,"34.149717, -88.00384, 146723"
35571,12265,34.341907,-87.94612,"34.341907, -87.94612, 12265"
35572,15087,34.16678,-87.26526,"34.16678, -87.26526, 15087"
35574,22540,33.586897,-87.97695,"33.586897, -87.97695, 22540"
35575,15108,34.049426,-87.57065,"34.049426, -87.57065, 15108"
35576,52078,33.581135,-88.10835,"33.581135, -88.10835, 52078"
35578,69174,33.97173,-87.45746,"33.97173, -87.45746, 69174"
35579,45319,33.673236,-87.37169,"33.673236, -87.37169, 45319"
35580,63169,33.701484,-87.27103,"33.701484, -87.27103, 63169"
35581,68944,34.343017,-87.71277,"34.343017, -87.71277, 68944"
35582,84571,34.448328,-88.12041,"34.448328, -88.12041, 84571"
35585,24209,34.428048,-87.80695,"34.428048, -87.80695, 24209"
35586,57070,33.864591,-88.13117,"33.864591, -88.13117, 57070"
35587,13448,33.807412,-87.446,"33.807412, -87.446, 13448"
35592,65933,33.752857,-88.0996,"33.752857, -88.0996, 65933"
35593,24912,34.369264,-88.06745,"34.369264, -88.06745, 24912"
35594,123352,33.925454,-87.78949,"33.925454, -87.78949, 123352"
35601,599403,34.595332,-86.98786,"34.595332, -86.98786, 599403"
35603,821489,34.539072,-86.95732,"34.539072, -86.95732, 821489"
35610,30327,34.944113,-87.24921,"34.944113, -87.24921, 30327"
35611,431871,34.784028,-87.02767,"34.784028, -87.02767, 431871"
35613,537672,34.808165,-86.89623,"34.808165, -86.89623, 537672"
35614,119495,34.860179,-87.06231,"34.860179, -87.06231, 119495"
35616,58430,34.748498,-87.9986,"34.748498, -87.9986, 58430"
35618,31398,34.665033,-87.30978,"34.665033, -87.30978, 31398"
35619,85286,34.404908,-87.12915,"34.404908, -87.12915, 85286"
35620,155619,34.930354,-86.9809,"34.930354, -86.9809, 155619"
35621,48598,34.334972,-86.71847,"34.334972, -86.71847, 48598"
35622,99678,34.340484,-86.89176,"34.340484, -86.89176, 99678"
35630,509852,34.817537,-87.66253,"34.817537, -87.66253, 509852"
35633,397591,34.898897,-87.77379,"34.898897, -87.77379, 397591"
35634,275805,34.888897,-87.60731,"34.888897, -87.60731, 275805"
35640,510081,34.442184,-86.94027,"34.442184, -86.94027, 510081"
