avgIncome,LatM,LongM,LATB,LONGB,BankCount
15036,32.776549,-86.0477,38.62,-83.78,12
241198,31.876168,-85.17362,34.92,-95.76,12
23559,31.474803,-86.37618,31.24,-90.46,24
17899,32.214818,-85.93281,35.68,-85.77,16
6479,31.847964,-86.86441,38.36,-97.66,22
35307,31.984289,-86.57087,41.64,-80.14,18
51870,31.655458,-86.76737,44.88,-91.91,21
12310,31.637696,-86.13578,32.38,-88.71,50
31261,31.756986,-86.14489,45.18,-89.7,10
29532,31.985456,-86.15741,39.16,-91.87,9
223646,31.8007,-86.60591,36.88,-94.87,12
3045,32.28032,-85.81979,36.61,-83.72,13
48526,32.182677,-86.66877,33.08,-83.23,11
20895,31.913456,-86.30083,32.82,-98.07,9
21091,31.860078,-86.44607,48.23,-101.29,31
78195,32.22381,-86.39798,43.73,-98.03,15
22886,32.025367,-86.34182,39.41,-92.43,11
22233,32.070433,-86.49437,38.3,-107.9,17
28640,31.776734,-85.58908,34.72,-76.73,29
88900,31.737407,-86.26946,29.7,-91.19,23
35345,32.682598,-86.47451,46.72,-116.99,14
32004,32.171705,-86.06661,47.19,-119.3,23
23493,32.011153,-85.46827,31.12,-83.68,12
299171,32.492335,-86.36692,36.33,-92.37,22
254749,32.318234,-86.09585,43.36,-115.52,6
442170,32.459435,-86.42746,36.5,-80.61,28
529012,32.488113,-86.52962,43.59,-84.77,26
36863,32.07955,-86.14911,33.16,-94.97,7
12407,31.708837,-86.38617,38.06,-83.94,20
31356,32.399994,-85.9237,38.31,-88.91,15
233893,32.553036,-85.9136,40.39,-82.47,20
151105,31.780847,-85.992,36.61,-88.31,13
51012,32.691057,-86.29429,41.41,-91.07,15
362124,31.852825,-85.92314,35.74,-95.35,20
120509,32.427987,-85.69542,31.61,-94.65,21
34887,32.419862,-85.71699,31.54,-91.38,20
95964,32.145437,-85.70998,31.75,-93.09,18
57063,32.759543,-86.51111,34.27,-81.61,10
375560,32.592889,-86.21902,39.92,-85.36,21
321561,32.505741,-86.15644,40.99,-80.34,23
110364,32.377509,-86.31068,40.71,-76.11,40
172038,32.30234,-86.30504,44.66,-124.01,22
461123,32.354888,-86.27161,35.96,-83.19,6
107211,32.378138,-86.27905,41.69,-93.04,16
253057,32.353188,-86.36037,44.31,-94.46,13
571428,32.386088,-86.24511,31.36,-110.93,12
143852,32.426372,-86.27007,42.03,-97.41,34
395138,32.338989,-86.27316,41.13,-100.77,20
16967,32.359588,-86.34434,39,-85.63,7
10615,32.404754,-86.24963,36.15,-81.14,19
749884,32.31324,-86.23672,41.24,-82.61,20
1464270,32.373714,-86.16443,48.28,-122.62,25
194481,33.658803,-85.85178,44.45,-89.03,29
373645,33.591301,-85.83571,41.42,-79.7,13
14603,33.711314,-85.78527,27.24,-80.82,10
180407,33.719701,-85.83166,42.08,-78.43,28
455026,33.651673,-85.75895,42.45,-75.06,28
99462,33.766057,-85.88969,44.08,-117.01,20
74090,33.243964,-85.84503,30.52,-92.08,36
14353,33.185338,-85.72548,33.49,-80.86,23
24427,33.032076,-85.69962,41.29,-92.63,9
27837,33.473789,-85.71409,46.8,-119.15,7
67844,33.593189,-85.99551,38.6,-95.26,13
16749,33.761052,-85.45227,37.96,-81.82,66
11790,33.469709,-85.36139,41.01,-92.41,15
138801,33.613541,-85.55457,44.08,-93.22,17
342906,33.824496,-85.77037,42.99,-84.17,21
75496,33.328958,-85.72073,34.35,-89.52,24
89725,33.51179,-85.94756,36.31,-78.58,13
15593,33.740158,-85.37813,31.43,-85.64,13
100313,33.79933,-86.0286,37.07,-88.63,43
172894,33.948018,-85.61491,36.08,-115.92,9
44713,33.535491,-85.36312,29.64,-81.65,11
148843,33.159848,-85.36865,31.75,-95.64,12
29617,33.142612,-85.57418,35.54,-100.96,5
96226,33.754308,-85.81991,36.05,-90.51,19
81302,33.338853,-85.509,36.3,-88.3,16
44427,33.862349,-85.89512,33.66,-95.54,14
56258,33.366136,-85.36501,37.33,-95.26,15
581485,31.180076,-85.4045,34.25,-111.28,11
667364,31.249042,-85.40605,31.4,-103.5,1
455729,31.214832,-85.47402,40.75,-86.06,10
118603,31.599256,-85.2094,30.52,-89.67,16
42856,31.589226,-85.69097,44.37,-100.32,13
107229,31.178688,-85.2429,30.18,-95.7,45
9133,31.013308,-85.75742,37.41,-94.69,24
31592,31.172641,-85.86482,34.19,-101.72,12
6421,31.645125,-85.37812,42.73,-90.47,37
21419,31.16782,-85.94917,44.69,-73.45,26
44228,31.312599,-85.14456,41.34,-86.31,15
49405,31.051843,-85.31561,38.85,-82.13,22
27616,31.202473,-85.301373,36.72,-97.06,18
145948,31.284499,-85.72111,40.87,-88.64,23
123112,31.428389,-86.07271,36.76,-90.4,20
738272,31.32579,-85.84117,34.18,-103.34,6
84006,31.043454,-85.87941,48.02,-123.82,19
21248,31.087556,-85.13116,41.5,-82.93,21
83712,31.096994,-85.7001,28.61,-96.62,9
158104,31.381263,-85.3149,38.75,-82.95,19
22223,31.567171,-85.93102,40.67,-76.2,59
118236,31.319083,-85.48718,39.57,-110.8,6
65294,31.406536,-85.9175,44.1,-120.66,5
95542,31.262955,-85.60789,46.73,-117.17,25
31975,31.453069,-85.36241,39.93,-91.38,41
335531,31.447119,-85.62908,26.47,-97.78,3
54034,31.352676,-85.70509,40.13,-122.43,15
15186,31.141962,-85.15675,44.58,-92.6,22
7599,31.52151,-85.1146,43.81,-111.78,12
21447,31.569287,-85.48581,39.82,-84.88,29
105487,31.096836,-85.54403,44.4,-73,47
33273,31.243717,-85.27681,26.37,-98.82,12
114020,31.461019,-86.96271,43.03,-108.41,15
209078,31.279043,-86.48699,36.45,-77.65,22
155756,31.279043,-86.48699,41.91,-89.06,17
12755,31.737883,-87.17442,34.93,-79.76,15
224988,31.129008,-87.10173,41.59,-109.22,11
34325,31.291038,-87.03109,37.94,-91.76,18
7348,31.874887,-87.4311,43.24,-123.48,29
7471,31.756797,-87.645,33.33,-104.52,18
58223,31.023139,-87.23957,35.27,-93.14,41
39007,31.042071,-86.34347,32.53,-92.63,18
8417,31.63857,-87.46772,43.6,-72.97,17
59490,31.429994,-87.41631,32.77,-109.71,3
88369,31.704736,-87.77773,18.34,-64.93,11
36174,31.203287,-86.15169,40.9,-80.85,36
25759,31.54668,-86.77355,38.81,-97.61,30
151336,31.509039,-87.32416,48.34,-116.45,12
151287,31.280048,-86.25484,41.45,-82.71,24
14519,31.612646,-87.24886,35.36,-79.13,22
41975,31.416059,-86.61397,46.48,-84.36,14
28637,31.410205,-87.22474,41.97,-76.51,30
74444,31.091359,-86.04782,41.86,-103.66,22
30704,31.320897,-87.59607,34.64,-86.04,19
3528,31.821448,-87.34313,35.24,-91.73,40
11375,31.614138,-87.63373,38.7,-93.23,17
6568,31.03183,-86.70207,40.8,-76.86,25
209974,31.090528,-87.49715,32.41,-87.03,10
25822,30.930065,-88.00103,34.68,-82.95,18
319319,30.875697,-87.76592,42.91,-76.79,9
42445,30.401384,-88.24671,35.89,-83.57,55
19681,30.312316,-87.73468,38.95,-85.88,24
58573,31.463383,-88.26781,44.77,-88.58,16
85156,30.965694,-88.18697,35.33,-96.91,17
113780,31.0753,-88.2633,35.28,-81.54,26
52536,30.383724,-88.18466,35.49,-86.44,7
16309,31.790834,-88.06933,47.23,-123.2,9
36829,30.886317,-88.02806,44.79,-106.95,9
799965,30.620594,-87.88312,34.25,-110.02,18
402219,30.684873,-87.89723,40.28,-84.16,18
43075,30.250825,-88.11819,36.88,-89.58,16
9727,31.309194,-88.26036,32.78,-108.26,6
126230,30.377657,-87.56159,32.71,-100.91,4
755068,30.512458,-87.88559,37.08,-84.6,32
404321,30.396876,-87.69616,40,-79.07,31
5502,31.646087,-88.14188,37.98,-120.39,22
11363,31.375241,-88.41557,44.48,-103.84,11
11708,31.453836,-87.64373,43.14,-95.15,11
264045,30.487783,-88.32722,43.42,-95.11,17
286802,30.262276,-87.72784,33.45,-88.82,20
180260,30.479171,-88.23793,32.44,-81.77,17
177240,31.508231,-87.88346,40.47,-106.82,15
23847,31.495691,-87.9626,32.21,-98.21,11
95055,30.393983,-87.45664,40.62,-103.19,7
150091,30.6316,-87.75299,41.79,-89.69,20
47328,31.234589,-88.08089,44.52,-89.56,24
39063,30.427641,-87.796011,36.13,-97.07,27
64145,31.629578,-88.34737,42.64,-95.19,15
43919,31.088463,-88.03007,41.8,-85.42,23
235508,30.291503,-87.56198,33.14,-95.61,11
